EP_ind;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;PP;PP - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;Geo/Nu.;Geo/Nu. - Coal
pes;Oil;Fossil fuel;Fossil fuel;;;;Geo/Nu.;Geo/Nu. - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;;;;Geo/Nu.;Geo/Nu. - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;;;;Geo/Nu.;Geo/Nu. - Biomass
pes;Geothermal;Geothermal;RES;Primary energy supply;Geothermal electr.;Geothermal;Geothermal;Geo/Nu. - Renewable
pes;H2 etc.;Hydrogen;RES;;;;Geo/Nu.;Geo/Nu. - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;;;;Geo/Nu.;Geo/Nu. - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;Nuclear electr.;Nuclear plants;Nuclear;Geo/Nu. - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;Hydro;Hydro - Coal
pes;Oil;Fossil fuel;Fossil fuel;;;;Hydro;Hydro - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;;;;Hydro;Hydro - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;;;;Hydro;Hydro - Biomass
pes;Renewable;VRES;RES;;;;Hydro;Hydro - Renewable
pes;H2 etc.;Hydrogen;RES;;;;Hydro;Hydro - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;;;;Hydro;Hydro - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;;;;Hydro;Hydro - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;Waste;Waste - Coal
pes;Oil;Fossil fuel;Fossil fuel;;;;Waste;Waste - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;;;;Waste;Waste - N.Gas
pes;Waste;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Waste incineration;Waste;Waste - Biomass
pes;Renewable;VRES;RES;;;;Waste;Waste - Renewable
pes;H2 etc.;Hydrogen;RES;;;;Waste;Waste - H2 etc.
pes;Waste;Biomass, biofuels & waste;RES;Primary energy supply;Biofuels;Waste to biofuel;Waste;Waste - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;;;;Waste;Waste - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;CAES/ELT;CAES/ELT - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;CAES/ELT;CAES/ELT - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;CAES/ELT;CAES/ELT - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;CAES/ELT;CAES/ELT - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;CAES/ELT;CAES/ELT - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Biofuels;;CAES/ELT;CAES/ELT - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;CAES/ELT;CAES/ELT - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;CAES/ELT;CAES/ELT - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;BioCon;BioCon - Coal
pes;Biofuel (Liq.);Biomass, biofuels & waste;RES;Primary energy supply;;;BioCon;BioCon - Oil
pes;Synth. Gas;Biomass, biofuels & waste;RES;Primary energy supply;Fossil fuel;;BioCon;BioCon - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Biofuels;;BioCon;BioCon - Biomass
pes;Renewable;VRES;RES;;;;BioCon;BioCon - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Biofuels;;BioCon;BioCon - H2 etc.
pes;Biofuel (Liq.);Biomass, biofuels & waste;Biofuels;Primary energy supply;Transport;;BioCon;BioCon - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;;;;BioCon;BioCon - Nucl/CCS
pes;Coal;Fossil fuel;RES;;;;EFuel;EFuel - Coal
pes;Biofuel (Liq.);Biomass, biofuels & waste;RES;Primary energy supply;Biofuels;;EFuel;EFuel - Oil
pes;Synth. Gas;Biomass, biofuels & waste;RES;Primary energy supply;Biofuels;;EFuel;EFuel - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;EFuel;EFuel - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;EFuel;EFuel - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Biofuels;;EFuel;EFuel - H2 etc.
pes;Biofuel (Liq.);Biomass, biofuels & waste;RES;Primary energy supply;Biofuels;;EFuel;EFuel - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;;;;EFuel;EFuel - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;VRES;VRES - Coal
pes;Oil;Fossil fuel;Fossil fuel;;;;VRES;VRES - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;;;;VRES;VRES - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;;;;VRES;VRES - Biomass
pes;Renewable;VRES;RES;;;;VRES;VRES - Renewable
pes;H2 etc.;Hydrogen;RES;;;;VRES;VRES - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;;;;VRES;VRES - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;;;;VRES;VRES - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;SolarTh;SolarTh - Coal
pes;Oil;Fossil fuel;Fossil fuel;;;;SolarTh;SolarTh - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;;;;SolarTh;SolarTh - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;;;;SolarTh;SolarTh - Biomass
pes;Renewable;VRES;RES;Primary energy supply;Individual heating supply;;SolarTh;SolarTh - Renewable
pes;H2 etc.;Hydrogen;RES;;;;SolarTh;SolarTh - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;;;;SolarTh;SolarTh - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;;;;SolarTh;SolarTh - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;;;;Transp.;Transp. - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Transport;;Transp.;Transp. - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Transport;;Transp.;Transp. - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;;;Transp.;Transp. - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;Transp.;Transp. - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Transport;;Transp.;Transp. - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Transport;;Transp.;Transp. - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;;;;Transp.;Transp. - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;Househ;Househ - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;Individual supply;Indv. Boilers (incl. micro CHP);Househ;Househ - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;Househ;Househ - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Househ;Househ - Nucl/CCS
pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Industry ( & other);Industry ( & other);Ind/Var;Ind/Var - Coal
pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Industry ( & other);Industry ( & other);Ind/Var;Ind/Var - Oil
pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Industry ( & other);Industry ( & other);Ind/Var;Ind/Var - N.Gas
pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Industry ( & other);Industry ( & other);Ind/Var;Ind/Var - Biomass
pes;Renewable;VRES;RES;Primary energy supply;;;Ind/Var;Ind/Var - Renewable
pes;H2 etc.;Hydrogen;RES;Primary energy supply;;;Ind/Var;Ind/Var - H2 etc.
pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;;;Ind/Var;Ind/Var - Biofuel
pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Ind/Var;Ind/Var - Nucl/CCS
co2;;;Fossil fuel;Emissions;GHG emissions;CO2 emissions;CO2 emissions;CO2-emission (corrected)
inv_cost;;;Renewable heat;Costs;annual investment;Solar thermal;;Solar thermal
inv_cost;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Small CHP units
inv_cost;;;Heat and electricity;Costs;annual investment;Heat pumps (DH);;Heat Pump gr. 2
inv_cost;;;Heat and electricity;Costs;annual investment;Thermal storage;;Heat Storage CHP
inv_cost;;;Heat and electricity;Costs;annual investment;Thermal storage;;Large CHP units
inv_cost;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Heat Pump gr. 3
inv_cost;;;Heat and electricity;Costs;annual investment;Thermal storage;;Heat Storage Solar
inv_cost;;;Heat and electricity;Costs;annual investment;Boilers (DH);;Boilers gr. 2 and 3
inv_cost;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Large Power Plants
inv_cost;;;Renewable energy;Costs;annual investment;Wind;;Wind
inv_cost;;;Renewable energy;Costs;annual investment;Wind;;Wind offshore
inv_cost;;;Renewable energy;Costs;annual investment;Solar (PV & CSP);;Photo Voltaic
inv_cost;;;Renewable energy;Costs;annual investment;Marine;;Wave power
inv_cost;;;Renewable energy;Costs;annual investment;Hydro;;River of hydro
inv_cost;;;Renewable energy;Costs;annual investment;Hydro;;Hydro Power
inv_cost;;;Renewable energy;Costs;annual investment;Hydro;;Hydro Storage
inv_cost;;;Renewable energy;Costs;annual investment;Hydro;;Hydro Pump
inv_cost;;;Renewable energy;Costs;annual investment;Nuclear plants;;Nuclear
inv_cost;;;Renewable energy;Costs;annual investment;Geothermal;;Geothermal Electr.
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Electrolyser;;Electrolyser
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Hydrogen Storage
inv_cost;;;Heat and electricity;Costs;annual investment;Electricity storage;;Charge el1 storage
inv_cost;;;Heat and electricity;Costs;annual investment;Electricity storage;;Discharge el1 storage
inv_cost;;;Heat and electricity;Costs;annual investment;Electricity storage;;El1 storage cap
inv_cost;;;Individual heat;Costs;annual investment;Boilers (Indv.);;Indv. boilers
inv_cost;;;Individual heat;Costs;annual investment;Micro CHP (Indv.);;Indv. CHP
inv_cost;;;Individual heat;Costs;annual investment;Heat pumps (Indv.);;Indv. Heat Pump
inv_cost;;;Individual heat;Costs;annual investment;Boilers (Indv.);;Indv. Electric heat
inv_cost;;;Individual heat;Costs;annual investment;Solar thermal (Indv.);;Indv. Solar thermal
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biogas;;BioGas Upgrade
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biogas;;Gasification Upgrade
inv_cost;;;Heat and electricity;Costs;annual investment;Boilers (DH);;DHP Boiler group 1
inv_cost;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Waste CHP
inv_cost;;;Heat and electricity;Costs;annual investment;Heat pumps (DH);;Absorp. HP (Waste)
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;Biogas Plant
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;Gasification Plant
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;BioDiesel Plant
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;BioPetrol Plant
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;BioJPPlant
inv_cost;;;Renewable energy;Costs;annual investment;Marine;;Tidal Power
inv_cost;;;Renewable energy;Costs;annual investment;Solar (PV & CSP);;CSP Solar Power
inv_cost;;;Liquid and gas fuels;Costs;annual investment;CCS;;Carbon Recycling
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;Methanation
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Biofuel conversion;;Liquidation + JP
inv_cost;;;Desalination;Costs;annual investment;Desalination;;Desalination Plant
inv_cost;;;Desalination;Costs;annual investment;Water storage;;Water storage
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Gas Storage
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Oil Storage
inv_cost;;;Liquid and gas fuels;Costs;annual investment;Liquid and gas storage;;Methanol Storage
inv_cost;;;Heat and electricity;Costs;annual investment;Interconnection;;Interconnection
inv_cost;;;Renewable energy;Costs;annual investment;Geothermal;;Geothermal Heat
inv_cost;;;Renewable energy;Costs;annual investment;Excess heat;;Indust. Excess Heat
inv_cost;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Indust. CHP Electr.
inv_cost;;;Heat and electricity;Costs;annual investment;Heat and power (CHP & PP);;Indust. CHP Heat
inv_cost;;;Heat and electricity;Costs;annual investment;Boilers (DH);;Electr Boiler Gr 2+3
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Bicycles
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Motorbikes
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Electric Cars
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Conventional Cars
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;DME Buses
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Diesel Buses
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;DME Trucks
inv_cost;;;Road Vehicles;Costs;annual investment;Transport vehicles;;Diesel Trucks
inv_cost;;;Heat and electricity;Costs;annual investment;Electricity storage;;El1 storage cap
inv_cost;;;Renewable heat;Costs;fixed OM;Fixed O&M;;Solar thermal
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Small CHP units
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Heat Pump gr. 2
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Heat Storage CHP
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Large CHP units
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Heat Pump gr. 3
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Heat Storage Solar
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Boilers gr. 2 and 3
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Large Power Plants
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Wind
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Wind offshore
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Photo Voltaic
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Wave power
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;River of hydro
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Hydro Power
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Hydro Storage
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Hydro Pump
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Nuclear
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Geothermal Electr.
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Electrolyser
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Hydrogen Storage
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Charge el1 storage
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Discharge el1 storage
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;El1 storage cap
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. boilers
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. CHP
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. Heat Pump
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. Electric heat
inv_cost;;;Individual heat;Costs;fixed OM;Fixed O&M;;Indv. Solar thermal
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;BioGas Upgrade
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Gasification Upgrade
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;DHP Boiler group 1
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Waste CHP
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Absorp. HP (Waste)
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Biogas Plant
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Gasification Plant
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;BioDiesel Plant
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;BioPetrol Plant
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;BioJPPlant
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Tidal Power
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;CSP Solar Power
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Carbon Recycling
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Methanation
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Liquidation + JP
inv_cost;;;Desalination;Costs;fixed OM;Fixed O&M;;Desalination Plant
inv_cost;;;Desalination;Costs;fixed OM;Fixed O&M;;Water storage
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Gas Storage
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Oil Storage
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Methanol Storage
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Interconnection
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Geothermal Heat
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Indust. Excess Heat
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Indust. CHP Electr.
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Indust. CHP Heat
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Electr Boiler Gr 2+3
inv_cost;;;Road Vehicles;Costs;fixed OM;Fixed O&M;;Bicycles
inv_cost;;;Road Vehicles;Costs;fixed OM;Fixed O&M;;Motorbikes
inv_cost;;;Road Vehicles;Costs;fixed OM;Fixed O&M;;Electric Cars
inv_cost;;;Road Vehicles;Costs;fixed OM;Fixed O&M;;Conventional Cars
inv_cost;;;Road Vehicles;Costs;fixed OM;Fixed O&M;;DME Buses
inv_cost;;;Road Vehicles;Costs;fixed OM;Fixed O&M;;Diesel Buses
inv_cost;;;Road Vehicles;Costs;fixed OM;Fixed O&M;;DME Trucks
inv_cost;;;Road Vehicles;Costs;fixed OM;Fixed O&M;;Diesel Trucks
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;El1 storage cap
var_cost;;;Fossil fuel;Costs;variable cost;Fuel excl. natural gas exchange;;Coal
var_cost;;;Fossil fuel;Costs;variable cost;Fuel excl. natural gas exchange;;FuelOil
var_cost;;;Fossil fuel;Costs;variable cost;Fuel excl. natural gas exchange;;Gasoil/Diesel
var_cost;;;Fossil fuel;Costs;variable cost;Fuel excl. natural gas exchange;;Petrol/JP
var_cost;;;Fossil fuel;Costs;variable cost;Fuel excl. natural gas exchange;;Gas handling
var_cost;;;Fossil fuel;Costs;variable cost;Fuel excl. natural gas exchange;;Biomass
var_cost;;;Fossil fuel;Costs;variable cost;Fuel excl. natural gas exchange;;Food income
var_cost;;;Fossil fuel;Costs;variable cost;Fuel excl. natural gas exchange;;Waste
var_cost;;;Fossil fuel;Costs;variable cost;Ngas Exchange costs;;Ngas Exchange costs
var_cost;;;Heat, power & storage;Costs;variable cost;Marginal operation costs;;Marginal operation costs
var_cost;;;Electricity;Costs;variable cost;Electricity exchange;;Import
var_cost;;;Electricity;Costs;variable cost;Electricity exchange;;Export
var_cost;;;Electricity;Costs;variable cost;Electricity exchange;;Bottleneck
var_cost;;;Electricity;Costs;variable cost;Electricity exchange;;Fixed imp/exp
var_cost;;;Fossil fuel;Costs;variable cost;CO2 costs;;CO2 emission costs
