id;EP_indicator;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name;value;unit;internal comments;;;;
0;summary;;;Electricity;Consumption;Electricity demand;;;Electr. Demand;72.99;;;;;;
1;summary;;;Electricity;Consumption;Cooling;;;Elec.dem Cooling;0.0;;;;;;
2;summary;;;Electricity;Trade;Electricity;;;Fixed Exp/Imp;0.0;;;;;;
3;summary;;;District heating supply;Consumption;District heating demand;;;DH Demand;9.61;;;;;;
4;summary;Onshore wind;VRES;RES;Primary energy supply;Electricity;Wind;Onshore wind;Wind Electr.;12.61;;;;;;
5;summary;Offshore wind;VRES;RES;Primary energy supply;Electricity;Wind;Offshore wind;Offshore Electr.;0.0;;;;;;
6;summary;PV;VRES;RES;Primary energy supply;Electricity;Solar;PV;PV Electr.;3.88;;;84,62;;;
7;summary;River hydro;VRES;RES;Primary energy supply;Electricity;Hydro;River hydro;River Electr.;0.0;;;;;;
8;summary;Tidal;VRES;RES;Primary energy supply;Electricity;Marine;Tidal;Tidal Electr.;0.0;;;;;;
9;summary;Wave;VRES;RES;Primary energy supply;Electricity;Marine;Wave;Wave Electr.;0.0;;;;;;
10;summary;CSP;VRES;RES;Primary energy supply;Electricity;Solar;CSP;CSP Electr.;0.0;;;;;;
11;summary;CSP;VRES;RES;Primary energy supply;Electricity;Solar;CSP;CSP2 Electr.;0.0;;;;;;
12;summary;CSP;VRES;Electricity storage;Electricity storage;Electricity storage;Solar;CSP;CSP2 Storage;0.0;;;;;;
13;summary;CSP;VRES;Electricity;Loss;Electricity;Solar;CSP;CSP2 loss;0.0;;;;;;
14;summary;Hydro power;VRES;RES;Primary energy supply;Electricity;Hydro;Hydro power;Hydro Electr.;21.13;;;;;;
15;summary;Hydro power;VRES;RES;Primary energy supply;Electricity;Hydro;Hydro power;Hydro pump;0.0;;;;;;
16;summary;Hydro power;VRES;RES;Electricity storage;Electricity;Hydro;Hydro power;Hydro storage;0.0;;;;;;
17;summary;Hydro power;VRES;RES;Hydro water supply;Hydro potential;Hydro;Hydro power;Hydro Wat-Sup;22.25;;;;;;
18;summary;Hydro power;VRES;Hydro potential;Hydro water supply;Losses;Hydro;Hydro power;Hydro Wat-Loss;0.0;;;;;;
19;summary;Solar thermal;VRES;RES;Primary energy supply;District heating supply;Solar;Solar thermal;Solar Heat;0.0;;sums gr 1,2,3;;;;
20;summary;;;Industrial excess;Supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 1 Heat;0.0;;aggregates industrial excess, geothermal and ELT;;;;
21;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Waste;Waste incineration;Waste 1 Heat;0.0;;;;;;
22;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Boilers;Boilers;Boiler 1 Heat;0.0;;;;;;
23;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Solar;Solar thermal;Solar 1 Heat;0.0;;;;;;
24;summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Sol1 Str Heat;0.0;;;;;;
25;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 2 Heat;0.0;;;;;;
26;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Waste;Waste incineration;Waste 2 Heat;0.0;;;;;;
27;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal heating;Geoth 2 Heat;0.0;;;;;;
28;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal;Geoth 2 Steam;0.0;;;;;;
29;summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Geoth 2 Storage;0.0;;;;;;
30;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Central power plants & DH;CHP plants;CHP 2 Heat;0.0;;;;;;
31;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Heat pumps;Heat pumps (DH);HP 2 Heat;0.0;;;;;;
32;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Boilers;Boilers;Boiler 2 Heat;0.0;;;;;;
33;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Electric heating;Electric heating;EH 2 Heat;0.0;;;;;;
34;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;;;ELT 2 Heat;0.0;;is this mapped to anything;;;;
35;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Solar;Solar thermal;Solar2 Heat;0.0;;;;;;
36;summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;Solar thermal storage;Sol2 Str Heat;0.0;;;;;;
37;summary;;;Heat and power (CHP, PP, Boilers);Thermal storage;District heating storage;Thermal storage;DH thermal storage;Storage2 Heat;0.0;;;;;;
38;summary;;;District heating supply;Balance;District heating demand;Balance;DH balance;Balance2 Heat;0.0;;;;;;
39;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Surplus heat;Industrial excess & geothermal heat;CSHP 3 Heat;1.25;;;;;;
40;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Waste;Waste incineration;Waste 3 Heat;0.0;;;;;;
41;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal heating;Geoth 3 Heat;0.0;;;;;;
42;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Geothermal;Geothermal;Geoth 3 Steam;0.0;;;;;;
43;summary;;;Heat and power (CHP, PP, Boilers);Storage;District heating supply;Thermal storage;Solar thermal storage;Geoth 3 Storage;0.0;;;;;;
44;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Central power plants & DH;CHP plants;CHP 3 Heat;8.25;;;;;;
45;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Heat pumps;Heat pumps (DH);HP 3 Heat;0.01;;;;;;
46;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Boilers;Boilers;Boiler 3 Heat;0.11;;;;;;
47;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Electric heating;Electric heating;EH 3 Heat;0.0;;;;;;
48;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;;;ELT 3 Heat;0.0;;;;;;
49;summary;;;Heat and power (CHP, PP, Boilers);Supply;District heating supply;Solar;Solar thermal;Solar3 Heat;0.0;;;;;;
50;summary;;;;Thermal storage;;Thermal storage;Solar thermal storage;Sol3 Str Heat;0.0;;;;;;
51;summary;;;;Thermal storage;;Thermal storage;DH thermal storage;Storage3 Heat;0.0;;;;;;
52;summary;;;District heating supply;Balance;District heating demand;Balance;DH balance;Balance3 Heat;0.0;;;;;;
53;summary;;;Electricity;Supply;Electricity demand;;;Flexible Electr.;8.29;;;;;;
54;summary;;;Electricity;Consumption;District heating supply;Heat pumps;Heat pumps (DH);HP Electr.;0.0;;Disaggregate large scale HP and HH-HP;;;;
55;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;CHP plants;Industrial CHP;CSHP Electr.;4.51;;;;;;
56;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;CHP plants;CHP plants (back-pressure);CHP Electr.;7.33;;;;;;
57;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;Power plants;Condensing power plant;PP Electr.;39.45;;;;;;
58;summary;;;Heat and power (CHP, PP, Boilers);Supply;Electricity;Power plants;Condensing power plant;PP2 Electr.;0.0;;;;;;
59;summary;Nuclear;Nuclear;Nuclear;Supply;Electricity;Nuclear plants;Nuclear plants;Nuclear Electr.;0.0;;;;;;
60;summary;Geothermal;Geothermal;RES;Supply;Electricity;Geothermal;Geothermal electricity;Geother. Electr.;0.0;;;;;;
61;summary;;;Electricity;Consumption;Electricity storage;Electricity storage;Hydro pump;Pump Electr.;0.0;;;;;;
62;summary;;;Electricity storage;Supply;Electricity;Electricity storage;Hydro turbine;Turbine Electr.;0.0;;;;;;
63;summary;;;;Storage;Electricity storage;Electricity storage;Hydro pump/turbine;Pumped Storage;0.0;;;;;;
64;summary;;;Electricity;Consumption;Electricity storage;Electricity storage;Hydro pump;Pump2 Electr.;0.0;;;;;;
65;summary;;;Electricity storage;Supply;Electricity;Electricity storage;Hydro turbine;Turbine2 Electr.;0.0;;;;;;
66;summary;;;;Electricity storage;Electricity storage;Hydro;Hydro pump/turbine;Pumped2 Storage;0.0;;;;;;
67;summary;;;Electricity;Consumption;Electricity storage;Electricity storage;Rockbed storage;Rock in Electr.;0.0;;;;;;
68;summary;;;Electricity storage;Supply;Electricity;Electricity storage;Rockbed storage;Rock out Steam;0.0;;;;;;
69;summary;;;Electricity storage in;Electricity storage;Electricity storage out;Electricity storage;Rockbed storage;Rock str Storage;0.0;;need to define in and out when it is a balance;;;;
70;summary;;;;Consumption;;;;ELT 2 Electr.;0.0;;not mapped in this output file it seems;;;;
71;summary;;;;Supply;;;;ELT 2 H2 ELT 2;0.0;;are these mapped;;;;
72;summary;;;;Consumption;;;;ELT 3 Electr.;0.0;;not mapped in this output file it seems;;;;
73;summary;;;;Supply;;;;ELT 3 H2 ELT 3;0.0;;;;;;
74;summary;;;Electricity;Consumption;Transport;EVs;;V2G Demand;4.63;;;;;;
75;summary;;;Electricity;Supply;Electricity storage;EVs;;V2G Charge;5.15;;;;;;
76;summary;;;Electricity storage;Supply;Electricity;EVs;;V2G Discha.;0.0;;;;;;
77;summary;;;;Electricity storage;Electricity storage;EVs;;V2G Storage;0.0;;;;;;
78;summary;;;Electricity;Consumption;Electrolysers;;;Trans H2 Electr.;2.31;;;;;;
79;summary;;;;Losses;;;;Trans H2 Electr.;0.0;;;;;;
80;summary;;;;Fuel storage;;;;CO2Hydro Storage;0.0;;;;;;
81;summary;;;;Supply;;;;NH3Hydro Electr.;0.0;;;;;;
82;summary;;;;Supply;;;;CO2Hydro liq.fuel;0.0;;;;;;
83;summary;;;;Supply;;;;NH3Hydro Ammonia;0.0;;;;;;
84;summary;;;Individual supply;Supply;Electricity;Micro CHP;Micro CHP;HH-CHP Electr.;0.0;;;;;;
85;summary;;;Electricity;Consumption;Individual supply;HP (indv. Heating);HP (indv. Heating);HH-HP Electr.;4.12;;;;;;
86;summary;;;Electricity;Consumption;Individual supply;Electrict Heating;Electric heating;HH-HP/EB Electr.;0.0;;? Can't see anything updating;;;;
87;summary;;;Electricity;Consumption;Individual heating supply;;;HH-EB Electr.;0.0;;;;;;
88;summary;;;Electricity;Consumption;Individual heating supply;;;HH-H2 Electr.;0.0;;;;;;
89;summary;;;Fuel storage;Fuel storage;Fuel storage;Fuel storage;Hydrogen storage;HH-H2 Storage;0.0;;;;;;
90;summary;;;;Price;;;;HH-H2 Prices;0.0;;?;;;;
91;summary;;;Individual heating supply;Consumption;Individual heating demand;;;HH Dem. Heat;36.23;;;;;;
92;summary;;;Individual supply;Supply;Individual heating supply;;;HH CHP+HP Heat;12.35;;Ind HP + CHP + EH disaggregate;;;;
93;summary;;;Individual supply;Supply;Individual heating supply;;;HH Boil. Heat;23.88;;;;;;
94;summary;;;RES;Primary energy supply;Individual heating supply;;;HH Solar Heat;0.0;;;;;;
95;summary;;;Thermal storage;Thermal storage;Thermal storage;Thermal storage;Indv. Thermal storage;HH Store Heat;0.0;;;;;;
96;summary;;;Individual supply;Balance;Individual heating demand;;;HH Balan Heat;0.0;;;;;;
98;summary;;;Import;Electricity exchange;Electricity;;;Import Electr.;3.94;;;;;;
99;summary;;;Electricity;Electricity exchange;Excess electricity;;;Export Electr.;0.0;;;;;;
100;summary;;;Excess electricity;Electricity exchange;Critical excess electricity;;;CEEP Electr.;0.0;;;;;;
101;summary;;;Excess electricity;Electricity exchange;Export;;;EEEP Electr.;0.0;;;;;;
102;summary;;;;Price;;;;ExMarket Prices;1.99;;M unit/MWh;;;;
103;summary;;;;Supply;;;;ExMarket Prod;0.0;;;;;;
104;summary;;;;Supply;;;;System Prices;0.0;;;;;;
105;summary;;;;Supply;;;;InMarket Prices;1.99;;;;;;
106;summary;;;;Supply;;;;Btl-neck Prices;0.0;;;;;;
107;summary;;;;Supply;;;;Import Payment;975.0;;;;;;
108;summary;;;;Supply;;;;Export Payment;0.0;;;;;;
109;summary;;;;Supply;;;;Blt-neck Payment;0.0;;;;;;
110;summary;;;;Supply;;;;Add-exp Payment;0.0;;;;;;
111;summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;Boilers ;0.09;;;;;;
112;summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;CHP2+3 ;13.74;;;;;;
113;summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;PP CAES;53.8;;;;;;
114;summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;Indi- vidual;20.91;;;;;;
115;summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;Transp. ;4.55;;;;;;
116;summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas demands;Indust. Various;44.5;;;;;;
117;summary;;;;Consumption;;Natural gas exchange;;Demand Sum;137.6;;Sum of above;;;;
118;summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;Biogas ;2.61;;;;;;
119;summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;Syngas ;0.0;;;;;;
120;summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;CO2HyGas ;0.0;;;;;;
121;summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;SynHyGas ;0.0;;;;;;
122;summary;;;Biogas & biofuel conversion;Supply;Natural gas;Natural gas exchange;Natural gas supply;SynFuel ;0.0;;;;;;
123;summary;;;Gas storage;Fuel storage;Gas storage;Natural gas exchange;Natural gas storage;Storage ;0.0;;;;;;
124;summary;;;Gas storage;Fuel storage;Gas storage;Natural gas exchange;Natural gas storage;Storage Content;0.0;;;;;;
125;summary;;;;Supply;;Natural gas exchange;;Sum ;134.99;;should be aggregated from the above;;;;
126;summary;;;PES;Consumption;Natural gas;Natural gas exchange;Natural gas import;Import Gas;134.99;;should be aggregated from the above;;;;I guess this are defined depending on whether + or -
127;summary;;;Biogas & biofuel conversion;Supply;PES;Natural gas exchange;Natural gas export;Export Gas;0.0;;should be aggregated from the above;;;;
128;summary;;;Desalination;Desalination volume;Fresh water;Desalination;Fresh water;FreshW Demand;0.0;;Gm3/year;;;;
129;summary;;;Water & brine storage;Storage;Water & brine storage;Desalination;Fresh water storage;FreshW Storage;0.0;;Mm3;;;;
130;summary;;;Salt water;Consumption;Desalination;Desalination;Salt water;SaltW Demand;0.0;;Gm3/year;;;;
131;summary;;;Desalination;Supply;Brine;Desalination;Brine;Brine Prod.;0.0;;Gm3/year;;;;
132;summary;;;Water & brine storage;Desalination volume;Water & brine storage;Desalination;Brine storage;Brine Storage;0.0;;Mm3;;;;
133;summary;;;Electricity;Consumption;Desalination;Desalination;Desalination plant el. demand;Desal.Pl Electr.;0.0;;TWh/year;;;;
134;summary;;;Electricity;Consumption;Desalination;Desalination;Fresh water el. demand;FWPump Electr.;0.0;;TWh/year;;;;
135;summary;;;Desalination;Supply;Electricity;Desalination;Turbine;Turbine Electr.;0.0;;;;;;
136;summary;;;Electricity;Consumption;Desalination;Desalinatin;Pump hydro (desalination);Pump Electr.;0.0;;;;;;
137;summary;;;Cooling supply;Supply;Cooling demand;District cooling;Absorption cooling;CoolGr1 Demand;0.0;;;;;;
138;summary;;;Cooling supply;Supply;Cooling demand;District cooling;Absorption cooling;CoolGr2 Demand;0.0;;;;;;
139;summary;;;Cooling supply;Supply;Cooling demand;District cooling;Absorption cooling;CoolGr3 Demand;0.0;;;;;;
140;summary;;;Cooling supply;Supply;Cooling demand;Cooling;Compression cooling;Cool-El Demand;0.0;;;;;;
141;summary;;;Cooling supply;Supply;Cooling demand;District cooling;Natural cooling;CoolGr1 Natural;0.0;;;;;;
142;summary;;;Cooling supply;Supply;Cooling demand;District cooling;Natural cooling;CoolGr2 Natural;0.0;;;;;;
143;summary;;;Cooling supply;Supply;Cooling demand;District cooling;Natural cooling;CoolGr3 Natural;0.0;;;;;;
144;summary;;;District heating supply;Consumption;Cooling supply;District cooling;Absorption cooling;Cooling DHgr1;0.0;;;;;;
145;summary;;;District heating supply;Consumption;Cooling supply;District cooling;Absorption cooling;Cooling DHgr2;0.0;;;;;;
146;summary;;;District heating supply;Consumption;Cooling supply;District cooling;Absorption cooling;Cooling DHgr3;0.0;;;;;;
147;summary;;;Electricity;Consumption;Cooling supply;Cooling;Compresion cooling;Cooling Electr.;0.0;;;;;;
148;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - Coal;0.0;;;;;;
149;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - Oil;0.0;;;;;;
150;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - N.Gas;0.0;;;;;;
151;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - Biomass;0.0;;;;;;
152;pes;Renewable;VRES;RES;Primary energy supply;;;DHP;DHP - Renewable;0.0;;;;;;
153;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - H2 etc.;0.0;;;;;;
154;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;DHP;DHP - Biofuel;0.0;;;;;;
155;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;DHP;DHP - Nucl/CCS;0.0;;;;;;
156;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - Coal;0.0;;;;;;
157;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - Oil;0.0;;;;;;
158;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - N.Gas;0.0;;;;;;
159;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - Biomass;0.0;;;;;;
160;pes;Renewable;VRES;RES;Primary energy supply;;;CHP2;CHP2 - Renewable;0.0;;;;;;
161;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - H2 etc.;0.0;;;;;;
162;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP2;CHP2 - Biofuel;0.0;;;;;;
163;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;CHP2;CHP2 - Nucl/CCS;0.0;;;;;;
164;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Coal;3.33;;;;;;
165;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Oil;0.51;;;;;;
166;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - N.Gas;1.88;;;;;;
167;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Biomass;0.46;;;;;;
168;pes;Renewable;VRES;RES;Primary energy supply;;;CHP3;CHP3 - Renewable;0.0;;;;;;
169;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - H2 etc.;0.0;;;;;;
170;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Biofuel;0.0;;;;;;
171;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;CHP3;CHP3 - Nucl/CCS;0.0;;;;;;
172;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Coal;0.0;;;;;;
173;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Oil;0.0;;;;;;
174;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - N.Gas;0.0;;;;;;
175;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Biomass;0.0;;;;;;
176;pes;Renewable;VRES;RES;Primary energy supply;;;Boiler2;Boiler2 - Renewable;0.0;;;;;;
177;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - H2 etc.;0.0;;;;;;
178;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Biofuel;0.0;;;;;;
179;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Boiler2;Boiler2 - Nucl/CCS;0.0;;;;;;
180;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Coal;0.03;;;;;;
181;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Oil;0.0;;;;;;
182;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - N.Gas;0.02;;;;;;
183;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Biomass;0.0;;;;;;
184;pes;Renewable;VRES;RES;Primary energy supply;;;Boiler3;Boiler3 - Renewable;0.0;;;;;;
185;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - H2 etc.;0.0;;;;;;
186;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Biofuel;0.0;;;;;;
187;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Boiler3;Boiler3 - Nucl/CCS;0.0;;;;;;
188;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Coal;159.32;;;;;;
189;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Oil;24.19;;;;;;
190;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - N.Gas;89.69;;;;;;
191;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Biomass;21.83;;;;;;
192;pes;Renewable;VRES;RES;Primary energy supply;;;PP;PP - Renewable;0.0;;;;;;
193;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - H2 etc.;0.0;;;;;;
194;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Biofuel;0.0;;;;;;
195;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;Heat and power (CHP, PP, Boilers);Condensing power plants;PP;PP - Nucl/CCS;0.0;;;;;;
196;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;;;Geo/Nu.;Geo/Nu. - Coal;0.0;;;;;;
197;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;;;Geo/Nu.;Geo/Nu. - Oil;0.0;;;;;;
198;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;;;Geo/Nu.;Geo/Nu. - N.Gas;0.0;;;;;;
